"PROVINCE","FED_CODE","FED_NAME","VOTE_COUNT_Liberal","VOTE_COUNT_Conservative","VOTE_COUNT_Bloc","VOTE_COUNT_NDP","VOTE_COUNT_Green","VOTE_COUNT_Other","VOTE_PCT_Liberal","VOTE_PCT_Conservative","VOTE_PCT_Bloc","VOTE_PCT_NDP","VOTE_PCT_Green","VOTE_PCT_Other","WINNER"
"Newfoundland and Labrador",10001,"Avalon",27563,16953,0,2284,0,230,0.5860727195407187,0.3604720391239634,0,0.048564745906867955,0,0.004890495428449926,"Liberal"
"Newfoundland and Labrador",10002,"Cape Spear",31388,11844,0,2446,140,170,0.6825258763155606,0.25754544663825346,0,0.053187788118639646,0.003044272418891885,0.0036966165086544317,"Liberal"
"Newfoundland and Labrador",10003,"Central Newfoundland",17696,21975,0,965,0,0,0.4354759326705384,0.5407766512452012,0,0.023747416084260262,0,0,"Conservative"
"Newfoundland and Labrador",10004,"Labrador",5811,4709,0,764,0,0,0.5149769585253456,0.4173165544133286,0,0.06770648706132577,0,0,"Liberal"
"Newfoundland and Labrador",10005,"Long Range Mountains",19726,23232,0,2011,0,1174,0.4274971284918623,0.50347831740459,0,0.04358190841514423,0,0.025442645688403442,"Conservative"
"Newfoundland and Labrador",10006,"St. John's East",28681,11941,0,5172,159,98,0.6228094938220669,0.25929947232416234,0,0.11231026470652103,0.0034526937525786628,0.0021280753946711253,"Liberal"
"Newfoundland and Labrador",10007,"Terra Nova—The Peninsulas",19593,19605,0,1677,0,0,0.4793394495412844,0.4796330275229358,0,0.04102752293577982,0,0,"Conservative"
"Prince Edward Island",11001,"Cardigan",14404,9442,0,505,326,584,0.5702070385178734,0.37377776018368236,0,0.01999129092276632,0.012905268991726377,0.023118641383951546,"Liberal"
"Prince Edward Island",11002,"Charlottetown",13656,6139,0,906,257,131,0.6475413722793874,0.29109962539712647,0,0.04296078524349187,0.012186447911233344,0.006211769168760965,"Liberal"
"Prince Edward Island",11003,"Egmont",12466,10419,0,585,538,0,0.5192435854715095,0.4339803398867044,0,0.024366877707430856,0.022409196934355214,0,"Liberal"
"Prince Edward Island",11004,"Malpeque",15485,9846,0,371,1049,132,0.5760145817059108,0.36625376632072315,0,0.013800543094148719,0.03902094260313209,0.0049101662760852585,"Liberal"
